year,week,week_start,age,vax,metric,value
2021,30,2021-07-25,50-64,vaxxed,deathrate,0
2021,30,2021-07-25,50-64,unvaxxed,deathrate,1.1719825843387968
2021,30,2021-07-25,65+,vaxxed,caserate,37.5567752813824
2021,30,2021-07-25,65+,unvaxxed,caserate,203.5728671115514
2021,30,2021-07-25,65+,vaxxed,hosprate,6.3898680166240895
2021,30,2021-07-25,65+,unvaxxed,hosprate,57.6971227642365
2021,30,2021-07-25,65+,vaxxed,deathrate,1.695271106451289
2021,30,2021-07-25,65+,unvaxxed,deathrate,10.886249578157829
2021,31,2021-08-01,12-17,vaxxed,caserate,17.286184305297063
2021,31,2021-08-01,12-17,unvaxxed,caserate,169.11044064800046
2021,31,2021-08-01,12-17,vaxxed,hosprate,0
2021,31,2021-08-01,12-17,unvaxxed,hosprate,3.074735284509099
2021,31,2021-08-01,12-17,vaxxed,deathrate,0
2021,31,2021-08-01,12-17,unvaxxed,deathrate,0
2021,31,2021-08-01,18-49,vaxxed,caserate,77.2217485508361
2021,31,2021-08-01,18-49,unvaxxed,caserate,258.105759434245
2021,31,2021-08-01,18-49,vaxxed,hosprate,0.6183923807874763
2021,31,2021-08-01,18-49,unvaxxed,hosprate,12.186107837065745
2021,31,2021-08-01,18-49,vaxxed,deathrate,0
2021,31,2021-08-01,18-49,unvaxxed,deathrate,0.3995445192480572
2021,31,2021-08-01,50-64,vaxxed,caserate,55.533365115769676
2021,31,2021-08-01,50-64,unvaxxed,caserate,172.5337003003803
2021,31,2021-08-01,50-64,vaxxed,hosprate,2.190411153058201
2021,31,2021-08-01,50-64,unvaxxed,hosprate,24.56311685236975
2021,31,2021-08-01,50-64,vaxxed,deathrate,0.1288477148857765
2021,31,2021-08-01,50-64,unvaxxed,deathrate,2.3675293351681685
2021,31,2021-08-01,65+,vaxxed,caserate,58.9784617948461
2021,31,2021-08-01,65+,unvaxxed,caserate,295.73719115878214
2021,31,2021-08-01,65+,vaxxed,hosprate,7.551326234218704
2021,31,2021-08-01,65+,unvaxxed,hosprate,82.76227364518158
2021,31,2021-08-01,65+,vaxxed,deathrate,1.1717575191029024
2021,31,2021-08-01,65+,unvaxxed,deathrate,14.345460765164807
2021,32,2021-08-08,12-17,vaxxed,caserate,29.849737547590617
2021,32,2021-08-08,12-17,unvaxxed,caserate,214.69447025115352
2021,32,2021-08-08,12-17,vaxxed,hosprate,0
2021,32,2021-08-08,12-17,unvaxxed,hosprate,1.1710607468244736
