age,doses,filed_date,report_date
50-64,2258401,2022-03-24,2022-03-28
65+,2291514,2022-03-24,2022-03-28
Unknown/missing,584,2022-03-24,2022-03-28
12-15,422046,2022-03-23,2022-03-25
16-17,228853,2022-03-23,2022-03-25
18-49,3900257,2022-03-23,2022-03-25
5-11,397333,2022-03-23,2022-03-25
50-64,2257732,2022-03-23,2022-03-25
65+,2290847,2022-03-23,2022-03-25
Unknown/missing,582,2022-03-23,2022-03-25
12-15,421767,2022-03-22,2022-03-24
16-17,228740,2022-03-22,2022-03-24
18-49,3898675,2022-03-22,2022-03-24
5-11,397017,2022-03-22,2022-03-24
50-64,2257087,2022-03-22,2022-03-24
65+,2290251,2022-03-22,2022-03-24
Unknown/missing,579,2022-03-22,2022-03-24
12-15,421496,2022-03-21,2022-03-23
16-17,228623,2022-03-21,2022-03-23
18-49,3897146,2022-03-21,2022-03-23
5-11,396611,2022-03-21,2022-03-23
50-64,2256686,2022-03-21,2022-03-23
65+,2291174,2022-03-21,2022-03-23
Unknown/missing,576,2022-03-21,2022-03-23
12-15,421192,2022-03-20,2022-03-22
16-17,228510,2022-03-20,2022-03-22
18-49,3895794,2022-03-20,2022-03-22
5-11,396215,2022-03-20,2022-03-22
50-64,2256139,2022-03-20,2022-03-22
65+,2290618,2022-03-20,2022-03-22
Unknown/missing,573,2022-03-20,2022-03-22
12-15,420644,2022-03-17,2022-03-21
16-17,228248,2022-03-17,2022-03-21
18-49,3893292,2022-03-17,2022-03-21
5-11,395436,2022-03-17,2022-03-21
50-64,2255090,2022-03-17,2022-03-21
65+,2289885,2022-03-17,2022-03-21
Unknown/missing,568,2022-03-17,2022-03-21
12-15,420326,2022-03-16,2022-03-18
16-17,228074,2022-03-16,2022-03-18
18-49,3891636,2022-03-16,2022-03-18
5-11,394918,2022-03-16,2022-03-18
50-64,2254356,2022-03-16,2022-03-18
65+,2289228,2022-03-16,2022-03-18
Unknown/missing,565,2022-03-16,2022-03-18
12-15,420049,2022-03-15,2022-03-17
16-17,227916,2022-03-15,2022-03-17
18-49,3890013,2022-03-15,2022-03-17
5-11,394492,2022-03-15,2022-03-17
50-64,2253711,2022-03-15,2022-03-17
65+,2288647,2022-03-15,2022-03-17
Unknown/missing,565,2022-03-15,2022-03-17
12-15,419781,2022-03-14,2022-03-16
16-17,227783,2022-03-14,2022-03-16
18-49,3888462,2022-03-14,2022-03-16
5-11,394119,2022-03-14,2022-03-16
50-64,2253297,2022-03-14,2022-03-16
65+,2289699,2022-03-14,2022-03-16
Unknown/missing,562,2022-03-14,2022-03-16
12-15,419465,2022-03-13,2022-03-15
16-17,227623,2022-03-13,2022-03-15
18-49,3887092,2022-03-13,2022-03-15
5-11,393698,2022-03-13,2022-03-15
50-64,2252742,2022-03-13,2022-03-15
65+,2289277,2022-03-13,2022-03-15
Unknown/missing,562,2022-03-13,2022-03-15
12-15,418741,2022-03-10,2022-03-14
16-17,227290,2022-03-10,2022-03-14
18-49,3883944,2022-03-10,2022-03-14
5-11,392746,2022-03-10,2022-03-14
50-64,2251680,2022-03-10,2022-03-14
65+,2288611,2022-03-10,2022-03-14
Unknown/missing,559,2022-03-10,2022-03-14
