zip,people_complete,filed_date,report_date
55073,951,7/15/2023,2023-07-20
56550,70,7/15/2023,2023-07-20
56035,82,7/15/2023,2023-07-20
56738,181,7/15/2023,2023-07-20
55718,959,7/15/2023,2023-07-20
55424,4410,7/15/2023,2023-07-20
56309,287,7/15/2023,2023-07-20
55329,354,7/15/2023,2023-07-20
55985,316,7/15/2023,2023-07-20
56535,225,7/15/2023,2023-07-20
56134,67,7/15/2023,2023-07-20
56639,100,7/15/2023,2023-07-20
55114,1564,7/15/2023,2023-07-20
55126,10890,7/15/2023,2023-07-20
55949,565,7/15/2023,2023-07-20
56516,47,7/15/2023,2023-07-20
56237,80,7/15/2023,2023-07-20
55965,565,7/15/2023,2023-07-20
56551,435,7/15/2023,2023-07-20
56382,202,7/15/2023,2023-07-20
55313,4610,7/15/2023,2023-07-20
56333,11,7/15/2023,2023-07-20
56336,352,7/15/2023,2023-07-20
55316,6549,7/15/2023,2023-07-20
56140,5,7/15/2023,2023-07-20
55983,303,7/15/2023,2023-07-20
55422,10642,7/15/2023,2023-07-20
56756,86,7/15/2023,2023-07-20
56688,30,7/15/2023,2023-07-20
56185,89,7/15/2023,2023-07-20
56041,191,7/15/2023,2023-07-20
56131,423,7/15/2023,2023-07-20
55111,51,7/15/2023,2023-07-20
56078,82,7/15/2023,2023-07-20
55074,395,7/15/2023,2023-07-20
56687,5,7/15/2023,2023-07-20
56054,167,7/15/2023,2023-07-20
56759,43,7/15/2023,2023-07-20
55779,1017,7/15/2023,2023-07-20
56398,5,7/15/2023,2023-07-20
56155,68,7/15/2023,2023-07-20
55175,5,7/15/2023,2023-07-20
56658,5,7/15/2023,2023-07-20
56220,593,7/15/2023,2023-07-20
55972,1289,7/15/2023,2023-07-20
56577,5,7/15/2023,2023-07-20
55384,574,7/15/2023,2023-07-20
56397,5,7/15/2023,2023-07-20
56544,907,7/15/2023,2023-07-20
56249,71,7/15/2023,2023-07-20
55067,5,7/15/2023,2023-07-20
