date,day,new_hosp,new_icu,new_deaths,new_cases,new_nonicu,cases_complete,deaths_complete
2023-02-06,Monday,51.857142857142854,6.142857142857143,5.571428571428571,636.2857142857143,45.714285714285715,TRUE,TRUE
2023-02-07,Tuesday,53,6.142857142857143,5.428571428571429,650.8571428571429,46.857142857142854,TRUE,TRUE
2023-02-08,Wednesday,53.142857142857146,6.428571428571429,6,667.1428571428571,46.714285714285715,TRUE,TRUE
2023-02-09,Thursday,54.714285714285715,6.285714285714286,5.857142857142857,679.8571428571429,48.42857142857143,TRUE,TRUE
2023-02-10,Friday,58.57142857142857,7,5.142857142857143,699.8571428571429,51.57142857142857,TRUE,TRUE
2023-02-11,Saturday,60.42857142857143,7.571428571428571,5,701.4285714285714,52.857142857142854,TRUE,TRUE
2023-02-12,Sunday,59.857142857142854,7.714285714285714,5,706.8571428571429,52.142857142857146,TRUE,TRUE
2023-02-13,Monday,59.142857142857146,8.285714285714286,5,712.4285714285714,50.857142857142854,TRUE,TRUE
2023-02-14,Tuesday,58.42857142857143,9,5.285714285714286,706.4285714285714,49.42857142857143,TRUE,TRUE
2023-02-15,Wednesday,57.285714285714285,9.857142857142858,4.857142857142857,693.7142857142857,47.42857142857143,TRUE,TRUE
2023-02-16,Thursday,55.142857142857146,10,5.142857142857143,690.7142857142857,45.142857142857146,TRUE,TRUE
2023-02-17,Friday,53.142857142857146,9.714285714285714,5.285714285714286,680.7142857142857,43.42857142857143,TRUE,TRUE
2023-02-18,Saturday,50.42857142857143,8.714285714285714,6.142857142857143,676.4285714285714,41.714285714285715,TRUE,TRUE
2023-02-19,Sunday,49.857142857142854,9.142857142857142,5.428571428571429,677.1428571428571,40.714285714285715,TRUE,TRUE
2023-02-20,Monday,49.714285714285715,8.428571428571429,5.428571428571429,645.8571428571429,41.285714285714285,TRUE,TRUE
2023-02-21,Tuesday,48.57142857142857,8.571428571428571,5.142857142857143,634.1428571428571,40,TRUE,TRUE
2023-02-22,Wednesday,49,7.571428571428571,6.142857142857143,617.1428571428571,41.42857142857143,TRUE,TRUE
