year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2021,29,2021-07-18,2021-07-24,2022-12-29,Total,5563378,10,0.2
2021,30,2021-07-25,2021-07-31,2022-12-29,Female,2792505,12,0.4
2021,30,2021-07-25,2021-07-31,2022-12-29,Male,2770873,7,0.3
2021,30,2021-07-25,2021-07-31,2022-12-29,Total,5563378,19,0.3
2021,31,2021-08-01,2021-08-07,2022-12-29,Female,2792505,11,0.4
2021,31,2021-08-01,2021-08-07,2022-12-29,Male,2770873,10,0.4
2021,31,2021-08-01,2021-08-07,2022-12-29,Total,5563378,21,0.4
2021,32,2021-08-08,2021-08-14,2022-12-29,Female,2792505,15,0.5
2021,32,2021-08-08,2021-08-14,2022-12-29,Male,2770873,13,0.5
2021,32,2021-08-08,2021-08-14,2022-12-29,Total,5563378,28,0.5
2021,33,2021-08-15,2021-08-21,2022-12-29,Female,2792505,10,0.4
2021,33,2021-08-15,2021-08-21,2022-12-29,Male,2770873,23,0.8
2021,33,2021-08-15,2021-08-21,2022-12-29,Total,5563378,33,0.6
2021,34,2021-08-22,2021-08-28,2022-12-29,Female,2792505,19,0.7
2021,34,2021-08-22,2021-08-28,2022-12-29,Male,2770873,31,1.1
2021,34,2021-08-22,2021-08-28,2022-12-29,Total,5563378,50,0.9
2021,35,2021-08-29,2021-09-04,2022-12-29,Female,2792505,21,0.8
2021,35,2021-08-29,2021-09-04,2022-12-29,Male,2770873,36,1.3
2021,35,2021-08-29,2021-09-04,2022-12-29,Total,5563378,57,1
2021,36,2021-09-05,2021-09-11,2022-12-29,Female,2792505,24,0.9
2021,36,2021-09-05,2021-09-11,2022-12-29,Male,2770873,42,1.5
2021,36,2021-09-05,2021-09-11,2022-12-29,Total,5563378,66,1.2
2021,37,2021-09-12,2021-09-18,2022-12-29,Female,2792505,34,1.2
2021,37,2021-09-12,2021-09-18,2022-12-29,Male,2770873,47,1.7
2021,37,2021-09-12,2021-09-18,2022-12-29,Total,5563378,81,1.5
2021,38,2021-09-19,2021-09-25,2022-12-29,Female,2792505,35,1.3
2021,38,2021-09-19,2021-09-25,2022-12-29,Male,2770873,67,2.4
2021,38,2021-09-19,2021-09-25,2022-12-29,Total,5563378,102,1.8
2021,39,2021-09-26,2021-10-02,2022-12-29,Female,2792505,49,1.8
2021,39,2021-09-26,2021-10-02,2022-12-29,Male,2770873,57,2.1
2021,39,2021-09-26,2021-10-02,2022-12-29,Total,5563378,106,1.9
2021,40,2021-10-03,2021-10-09,2022-12-29,Female,2792505,46,1.6
2021,40,2021-10-03,2021-10-09,2022-12-29,Male,2770873,90,3.2
2021,40,2021-10-03,2021-10-09,2022-12-29,Total,5563378,136,2.4
2021,41,2021-10-10,2021-10-16,2022-12-29,Female,2792505,44,1.6
2021,41,2021-10-10,2021-10-16,2022-12-29,Male,2770873,83,3
2021,41,2021-10-10,2021-10-16,2022-12-29,Total,5563378,127,2.3
2021,42,2021-10-17,2021-10-23,2022-12-29,Female,2792505,47,1.7
2021,42,2021-10-17,2021-10-23,2022-12-29,Male,2770873,89,3.2
2021,42,2021-10-17,2021-10-23,2022-12-29,Total,5563378,136,2.4
2021,43,2021-10-24,2021-10-30,2022-12-29,Female,2792505,68,2.4
2021,43,2021-10-24,2021-10-30,2022-12-29,Male,2770873,78,2.8
2021,43,2021-10-24,2021-10-30,2022-12-29,Total,5563378,146,2.6
2021,44,2021-10-31,2021-11-06,2022-12-29,Female,2792505,71,2.5
2021,44,2021-10-31,2021-11-06,2022-12-29,Male,2770873,93,3.4
2021,44,2021-10-31,2021-11-06,2022-12-29,Total,5563378,164,2.9
2021,45,2021-11-07,2021-11-13,2022-12-29,Female,2792505,71,2.5
2021,45,2021-11-07,2021-11-13,2022-12-29,Male,2770873,105,3.8
2021,45,2021-11-07,2021-11-13,2022-12-29,Total,5563378,176,3.2
2021,46,2021-11-14,2021-11-20,2022-12-29,Female,2792505,81,2.9
